entityName,propertyName,propertyLabel,propertyType,nullable,length,precision,scale,unique,defaultValue,relationshipType,targetEntity,inversedBy,mappedBy,cascade,orphanRemoval,fetch,orderBy,indexType,compositeIndexWith,validationRules,validationMessage,formType,formOptions,formRequired,formReadOnly,formHelp,showInList,showInDetail,showInForm,sortable,searchable,filterable,apiReadable,apiWritable,apiGroups,allowedRoles,translationKey,formatPattern,fixtureType,fixtureOptions
Organization,name,Name,string,,,,,,,,,,,,,LAZY,,composite,slug,"NotBlank,Length(max=255)",,TextType,{},1,,,1,1,1,1,1,,1,1,"organization:read,organization:write",ORGANIZATION_ADMIN,,,word,{}
Organization,slug,Slug,string,,50,,,1,,,,,,,,LAZY,,composite,slug,"NotBlank,Length(max=255)",,TextType,{},1,,,1,1,1,1,1,,1,1,"organization:read,organization:write",,,,word,{}
Organization,description,Description,text,1,,,,,,,,,,,,LAZY,,,,,,TextareaType,{},,,,1,1,1,1,1,,1,1,"organization:read,organization:write",,,,paragraph,{}
Organization,status,Status,integer,1,,,,,,,,,,,,LAZY,,simple,,,,IntegerType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,randomNumber,{}
Organization,address,Address,string,1,,,,,,,,,,,,LAZY,,,,Length(max=255),,TextType,{},,,,1,1,1,1,1,,1,1,"organization:read,organization:write",,,,word,{}
Organization,city,City,,1,,,,,,ManyToOne,City,,,,,LAZY,,simple,,,,EntityType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,,{}
Organization,postalCode,PostalCode,string,1,,,,,,,,,,,,LAZY,,,,Length(max=255),,TextType,{},,,,1,1,1,1,1,,1,1,"organization:read,organization:write",,,,word,{}
Organization,geo,Geo,string,1,,,,,,,,,,,,LAZY,,,,Length(max=255),,TextType,{},,,,1,1,1,1,1,,1,1,"organization:read,organization:write",,,,word,{}
Organization,celPhone,CelPhone,string,1,20,,,,,,,,,,,LAZY,,,,Length(max=255),,TextType,{},,,,1,1,1,1,1,,1,1,"organization:read,organization:write",,,,word,{}
Organization,businessPhone,BusinessPhone,string,1,20,,,,,,,,,,,LAZY,,,,Length(max=255),,TextType,{},,,,1,1,1,1,1,,1,1,"organization:read,organization:write",,,,word,{}
Organization,contactName,ContactName,string,1,,,,,,,,,,,,LAZY,,,,Length(max=255),,TextType,{},,,,1,1,1,1,1,,1,1,"organization:read,organization:write",,,,word,{}
Organization,website,Website,string,1,,,,,,,,,,,,LAZY,,,,"Url,Length(max=255)",,TextType,{},,,,1,1,1,1,1,,1,1,"organization:read,organization:write",,,,word,{}
Organization,logoUrl,LogoUrl,string,1,,,,,,,,,,,,LAZY,,,,Length(max=255),,TextType,{},,,,1,1,1,1,1,,1,1,"organization:read,organization:write",,,,word,{}
Organization,branding,Branding,json,1,,,,,,,,,,,,LAZY,,,,,,TextareaType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,word,{}
Organization,navConfig,NavConfig,json,1,,,,,,,,,,,,LAZY,,,,,,TextareaType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,word,{}
Organization,featureFlags,FeatureFlags,json,1,,,,,,,,,,,,LAZY,,,,,,TextareaType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,word,{}
Organization,businessSettings,BusinessSettings,json,1,,,,,,,,,,,,LAZY,,,,,,TextareaType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,word,{}
Organization,securityConfig,SecurityConfig,json,1,,,,,,,,,,,,LAZY,,,,,,TextareaType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,word,{}
Organization,integrationConfig,IntegrationConfig,json,1,,,,,,,,,,,,LAZY,,,,,,TextareaType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,word,{}
Organization,uiPreferences,UiPreferences,json,1,,,,,,,,,,,,LAZY,,,,,,TextareaType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,word,{}
Organization,timeZone,TimeZone,string,1,50,,,,,,,,,,,LAZY,,,,Length(max=255),,TextType,{},,,,1,1,1,1,1,,1,1,"organization:read,organization:write",,,,word,{}
Organization,currency,Currency,string,1,20,,,,,,,,,,,LAZY,,,,Length(max=255),,TextType,{},,,,1,1,1,1,1,,1,1,"organization:read,organization:write",,,,word,{}
Organization,industry,Industry,string,1,,,,,,,,,,,,LAZY,,,,Length(max=255),,TextType,{},,,,1,1,1,1,1,,1,1,"organization:read,organization:write",,,,word,{}
Organization,companySize,CompanySize,integer,1,10,,,,,,,,,,,LAZY,,,,,,IntegerType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,randomNumber,{}
Organization,socialMedias,SocialMedias,,1,,,,,,OneToMany,SocialMedia,organization,,,,LAZY,name,,,,,EntityType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,,{}
Organization,modules,Modules,,1,,,,,,ManyToMany,Module,,,,,LAZY,name,,,,,EntityType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,,{}
Organization,users,Users,,1,,,,,,OneToMany,User,organization,,,,EXTRA_LAZY,"{""createdAt"": ""asc""}",,,,,EntityType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,,{}
Organization,contacts,Contacts,,1,,,,,,OneToMany,Contact,organization,,,,EXTRA_LAZY,"{""createdAt"": ""desc""}",,,,,EntityType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,,{}
Organization,companies,Companies,,1,,,,,,OneToMany,Company,organization,,,,EXTRA_LAZY,name,,,,,EntityType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,,{}
Organization,profiles,Profiles,,1,,,,,,OneToMany,Profile,organization,,,,LAZY,name,,,,,EntityType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,,{}
Organization,flags,Flags,,1,,,,,,OneToMany,Flag,organization,,,,LAZY,name,,,,,EntityType,{},,,,1,1,1,1,,,1,1,"organization:read,organization:write",,,,,{}
